Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
EKEDALEN 에케달렌 / EKEDALEN 에케달렌,"528,600",테이블+의자4, 화이트 화이트/오르스타 라이트그레이,80/120 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/ekedalen-ekedalen-table-and-4-chairs-white-white-orrsta-light-grey-s79482963/,https://www.ikea.com/kr/ko/images/products/ekedalen-ekedalen-table-and-4-chairs-white-white-orrsta-light-grey__1111893_pe871008_s5.jpg?f=s,79482963
EKEDALEN 에케달렌 / NORDMYRA 노르드뮈라,"448,600",테이블+의자4, 화이트/화이트 자작나무,80/120 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/ekedalen-nordmyra-table-and-4-chairs-white-white-birch-s89482972/,https://www.ikea.com/kr/ko/images/products/ekedalen-nordmyra-table-and-4-chairs-white-white-birch__1097863_pe865152_s5.jpg?f=s,89482972
RÖNNINGE 뢴닝에 / ODGER 오드게르,"898,600",테이블+의자4, 자작나무/앤트러싸이트,155/210 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/roenninge-odger-table-and-4-chairs-birch-anthracite-s59429085/,https://www.ikea.com/kr/ko/images/products/roenninge-odger-table-and-4-chairs-birch-anthracite__1016309_pe830315_s5.jpg?f=s,59429085
TROTTEN 트로텐,"45,000",서랍유닛, 앤트러싸이트,34x56 cm,3,1,https://www.ikea.com/kr/ko/p/trotten-drawer-unit-anthracite-00474862/,https://www.ikea.com/kr/ko/images/products/trotten-drawer-unit-anthracite__1009416_pe827587_s5.jpg?f=s,00474862
STENSELE 스텐셀레,"60,000",테이블상판, 라이트그레이,70 cm,5,1,https://www.ikea.com/kr/ko/p/stensele-table-top-light-grey-10412897/,https://www.ikea.com/kr/ko/images/products/stensele-table-top-light-grey__0680033_pe719773_s5.jpg?f=s,10412897
BEKANT 베칸트,"30,000",바퀴, 블랙,No Size,5,1,https://www.ikea.com/kr/ko/p/bekant-castor-black-60372455/,https://www.ikea.com/kr/ko/images/products/bekant-castor-black__0612710_pe686053_s5.jpg?f=s,60372455
RÖNNINGE 뢴닝에 / RÖNNINGE 뢴닝에,"975,000",테이블+의자4, 자작나무/블랙,155/210x90x75 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/roenninge-roenninge-table-and-4-chairs-birch-black-s79390020/,https://www.ikea.com/kr/ko/images/products/roenninge-roenninge-table-and-4-chairs-birch-black__0926672_pe789455_s5.jpg?f=s,79390020
RÖNNINGE 뢴닝에 / LISABO 리사보,"858,600",테이블+의자4, 자작나무/물푸레나무,155/210x90x75 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/roenninge-lisabo-table-and-4-chairs-birch-ash-s89390029/,https://www.ikea.com/kr/ko/images/products/roenninge-lisabo-table-and-4-chairs-birch-ash__0921124_pe787678_s5.jpg?f=s,89390029
RÖNNINGE 뢴닝에 / NILSOVE 닐소베,"1,095,000",테이블+의자4, 자작나무/라탄 화이트,155/210 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/roenninge-nilsove-table-and-4-chairs-birch-rattan-white-s99429093/,https://www.ikea.com/kr/ko/images/products/roenninge-nilsove-table-and-4-chairs-birch-rattan-white__1016307_pe830313_s5.jpg?f=s,99429093
BEKANT 베칸트,"309,000",코너책상L, 블랙스테인 물푸레무늬목/블랙,160x110 cm,4.1,7,https://www.ikea.com/kr/ko/p/bekant-corner-desk-left-black-stained-ash-veneer-black-s99282802/,https://www.ikea.com/kr/ko/images/products/bekant-corner-desk-left-black-stained-ash-veneer-black__0736406_pe740525_s5.jpg?f=s,99282802
BEKANT 베칸트,"269,000",코너책상L, 화이트/블랙,160x110 cm,4.1,7,https://www.ikea.com/kr/ko/p/bekant-corner-desk-left-white-black-s29222487/,https://www.ikea.com/kr/ko/images/products/bekant-corner-desk-left-white-black__0736444_pe740554_s5.jpg?f=s,29222487
BEKANT 베칸트,"329,000",코너책상L, 리놀륨 블루/화이트,160x110 cm,4.1,7,https://www.ikea.com/kr/ko/p/bekant-corner-desk-left-linoleum-blue-white-s59282842/,https://www.ikea.com/kr/ko/images/products/bekant-corner-desk-left-linoleum-blue-white__0736409_pe740538_s5.jpg?f=s,59282842
BEKANT 베칸트,"309,000",코너책상L, 블랙스테인 물푸레무늬목/화이트,160x110 cm,4.1,7,https://www.ikea.com/kr/ko/p/bekant-corner-desk-left-black-stained-ash-veneer-white-s69282832/,https://www.ikea.com/kr/ko/images/products/bekant-corner-desk-left-black-stained-ash-veneer-white__0736407_pe740540_s5.jpg?f=s,69282832
BEKANT 베칸트,"329,000",코너책상L, 리놀륨 블루/블랙,160x110 cm,4.1,7,https://www.ikea.com/kr/ko/p/bekant-corner-desk-left-linoleum-blue-black-s99282816/,https://www.ikea.com/kr/ko/images/products/bekant-corner-desk-left-linoleum-blue-black__0736408_pe740542_s5.jpg?f=s,99282816
BEKANT 베칸트,"239,000",책상, 화이트스테인 참나무 무늬목/화이트,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-white-stained-oak-veneer-white-s39282678/,https://www.ikea.com/kr/ko/images/products/bekant-desk-white-stained-oak-veneer-white__0736422_pe740537_s5.jpg?f=s,39282678
BEKANT 베칸트,"239,000",책상, 블랙스테인 물푸레무늬목/블랙,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-black-stained-ash-veneer-black-s49282593/,https://www.ikea.com/kr/ko/images/products/bekant-desk-black-stained-ash-veneer-black__0736414_pe740529_s5.jpg?f=s,49282593
BEKANT 베칸트,"269,000",책상, 리놀륨 블루/블랙,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-linoleum-blue-black-s29282768/,https://www.ikea.com/kr/ko/images/products/bekant-desk-linoleum-blue-black__0736416_pe740531_s5.jpg?f=s,29282768
BEKANT 베칸트,"239,000",책상, 블랙스테인 물푸레무늬목/화이트,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-black-stained-ash-veneer-white-s79282681/,https://www.ikea.com/kr/ko/images/products/bekant-desk-black-stained-ash-veneer-white__0736415_pe740530_s5.jpg?f=s,79282681
BEKANT 베칸트,"189,000",책상, 화이트/블랙,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-white-black-s89222564/,https://www.ikea.com/kr/ko/images/products/bekant-desk-white-black__0736423_pe740526_s5.jpg?f=s,89222564
BEKANT 베칸트,"269,000",책상, 리놀륨 블루/화이트,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-linoleum-blue-white-s89282765/,https://www.ikea.com/kr/ko/images/products/bekant-desk-linoleum-blue-white__0736417_pe740532_s5.jpg?f=s,89282765
BEKANT 베칸트,"239,000",책상, 화이트스테인 참나무 무늬목/블랙,160x80 cm,4.7,19,https://www.ikea.com/kr/ko/p/bekant-desk-white-stained-oak-veneer-black-s99282675/,https://www.ikea.com/kr/ko/images/products/bekant-desk-white-stained-oak-veneer-black__0736421_pe740536_s5.jpg?f=s,99282675
LUNNARP 룬나르프,"59,900",보조테이블, 화이트,55x45 cm,4.8,8,https://www.ikea.com/kr/ko/p/lunnarp-side-table-white-50399021/,https://www.ikea.com/kr/ko/images/products/lunnarp-side-table-white__0593769_pe675370_s5.jpg?f=s,50399021
TROTTEN 트로텐,"119,000",도어수납장, 앤트러싸이트,70x110 cm,4,1,https://www.ikea.com/kr/ko/p/trotten-cabinet-with-doors-anthracite-00474857/,https://www.ikea.com/kr/ko/images/products/trotten-cabinet-with-doors-anthracite__1007246_pe825961_s5.jpg?f=s,00474857
IDÅSEN 이도센,"249,000",선반유닛, 다크그레이,120x140 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/idasen-shelving-unit-dark-grey-20496392/,https://www.ikea.com/kr/ko/images/products/idasen-shelving-unit-dark-grey__1020166_pe831816_s5.jpg?f=s,20496392
